model,loss_fn,train_dir,val_dir,epochs,es_patience,label_smoothing,grad_clip_norm,scheduler_factor,scheduler_patience,num_workers,input_size,batch_size,lr,weight_decay,hidden_sizes,dropout,HFlip,VFlip,RBContrast,best_epoch,best_train_aug_loss,best_train_aug_accuracy,best_train_aug_macro_f1,best_val_loss,best_val_accuracy,best_val_macro_f1,best_val_balanced_accuracy,final_train_eval_loss,final_train_eval_accuracy,final_train_eval_macro_f1,final_train_eval_balanced_accuracy,final_val_loss,final_val_accuracy,final_val_macro_f1,final_val_balanced_accuracy,generalization_gap_macro_f1,generalization_gap_accuracy,seed,run_label,stage
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,5e-05,0.001,"(1536, 768)",0.35,0.5,0.5,0.3,56,0.9381842125545848,0.7083946980854198,0.7110093808359668,1.368573506673177,0.6242424242424243,0.6361580878148011,0.6369408369408369,0.7947867566888983,0.7908689248895434,0.7949884514573187,0.8006159420289856,1.368573506673177,0.6242424242424243,0.6361580878148011,0.6369408369408369,0.15883036364251757,0.16662650064711915,2063,local_037_seed_2063,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.0,1.0,0.5,4,0,80,32,0.0001,0.001,"(1536, 768)",0.35,0.5,0.5,0.3,28,0.8906200771982019,0.6377025036818851,0.6384796694660019,1.0948988695939381,0.6242424242424243,0.6263895625523781,0.636940836940837,0.6714558025652712,0.7334315169366715,0.735066088487647,0.7401207729468599,1.0948988695939381,0.6242424242424243,0.6263895625523781,0.636940836940837,0.10867652593526889,0.10918909269424726,2027,local_001_seed_2027,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.0,1.0,0.5,4,0,80,64,0.0001,0.002,"(1024, 512)",0.25,0.5,0.5,0.3,37,0.7056646617976102,0.7334315169366715,0.732019670117762,1.1790350079536438,0.6181818181818182,0.6261275406132245,0.629004329004329,0.5403650714592501,0.7982326951399117,0.8022449033529768,0.8033937198067632,1.1790350079536438,0.6181818181818182,0.6261275406132245,0.629004329004329,0.17611736273975231,0.18005087695809352,2030,local_004_seed_2030,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.0,1.0,0.5,4,0,64,64,0.0001,0.001,"(768, 384)",0.45,0.5,0.5,0.5,58,0.9113777388225902,0.6111929307805597,0.6115923872830966,1.1760171850522358,0.6121212121212121,0.6260540485348309,0.6236652236652236,0.6135979741811752,0.759941089837997,0.7634647704681276,0.7668397745571659,1.1760171850522358,0.6121212121212121,0.6260540485348309,0.6236652236652236,0.13741072193329662,0.14781987771678495,2051,local_025_seed_2051,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,0.001,"(1024, 512)",0.35,0.5,0.5,0.3,50,0.9582666267048229,0.7039764359351989,0.7072433583602217,1.3231330315272014,0.6121212121212121,0.6252783967418734,0.6258297258297258,0.7803964614868164,0.7967599410898379,0.7990984735976152,0.8036191626409017,1.3231330315272014,0.6121212121212121,0.6252783967418734,0.6258297258297258,0.17382007685574186,0.18463872896862588,95,repeat_trial53_seed_95,repeat_trial53
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.03,1.0,0.5,4,0,64,64,0.0001,0.0005,"(1536, 768)",0.25,0.5,0.5,0.5,30,0.9142297885634683,0.6818851251840943,0.6798521177413281,1.3034261465072632,0.6121212121212121,0.6197387613877188,0.6212842712842713,0.7493818158453162,0.7731958762886598,0.7780555011686139,0.782451690821256,1.3034261465072632,0.6121212121212121,0.6197387613877188,0.6212842712842713,0.1583167397808951,0.16107466416744776,2070,local_044_seed_2070,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.03,1.0,0.5,4,0,64,32,5e-05,0.001,"(1536, 768)",0.25,0.5,0.5,0.3,24,0.9314861107956279,0.6818851251840943,0.6838148359377022,1.29770889878273,0.6,0.6168692670542704,0.6125541125541125,0.8543943708593195,0.7304860088365243,0.7350742551608089,0.7391787439613526,1.29770889878273,0.6,0.6168692670542704,0.6125541125541125,0.11820498810653857,0.13048600883652428,2035,local_009_seed_2035,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,64,0.0002,0.001,"(768, 384)",0.25,0.5,0.5,0.3,30,0.9994535933841359,0.6686303387334315,0.6663487875989298,1.2673511902491252,0.6,0.612638129768022,0.6101731601731601,0.8372185284441168,0.7731958762886598,0.7769968551770905,0.7813969404186795,1.2673511902491252,0.6,0.612638129768022,0.6101731601731601,0.16435872540906848,0.17319587628865984,2074,local_048_seed_2074,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.03,1.0,0.5,4,0,80,32,0.0002,0.002,"(1536, 768)",0.35,0.5,0.5,0.3,32,0.9686071520501917,0.6701030927835051,0.6681323154662848,1.1914629340171814,0.6,0.6109565222781401,0.608008658008658,0.7862352701750669,0.7614138438880707,0.7676327962822501,0.7687882447665058,1.1914629340171814,0.6,0.6109565222781401,0.608008658008658,0.15667627400411,0.16141384388807067,2059,local_033_seed_2059,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.03,1.0,0.5,4,0,64,64,0.0002,0.002,"(1024, 512)",0.45,0.5,0.5,0.5,32,1.0801341912963174,0.6421207658321061,0.6419801526235178,1.2965727647145588,0.6,0.6089928470802293,0.6123376623376623,0.8918868465857073,0.6892488954344624,0.6919143078716546,0.6911755233494364,1.2965727647145588,0.6,0.6089928470802293,0.6123376623376623,0.08292146079142537,0.08924889543446246,2060,local_034_seed_2060,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,64,0.0001,0.001,"(1024, 512)",0.35,0.5,0.5,0.3,47,0.9372664906761863,0.7083946980854198,0.7107490153589355,1.3264130751291912,0.6060606060606061,0.6079320604523857,0.6133477633477633,0.7949890765276822,0.7893961708394698,0.7930008757770219,0.7965056360708535,1.3264130751291912,0.6060606060606061,0.6079320604523857,0.6133477633477633,0.18506881532463626,0.1833355647788637,21,repeat_trial53_seed_21,repeat_trial53
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,96,32,0.0002,0.002,"(1024, 512)",0.35,0.5,0.5,0.5,33,1.0358481732281772,0.6892488954344624,0.6879308678391808,1.216089775164922,0.6,0.6078734619953257,0.6101731601731601,0.89415504173799,0.7437407952871871,0.7457842663151258,0.7508977455716586,1.216089775164922,0.6,0.6078734619953257,0.6101731601731601,0.13791080431980018,0.14374079528718708,2062,local_036_seed_2062,local_search
MLPClassifier,CrossEntropyLoss_weighted_label_smoothing,data/Split_smol/train,data/Split_smol/val,200,12,0.05,1.0,0.5,4,0,64,32,0.0001,0.001,"(1024, 512, 256)",0.25,0.5,0.5,0.3,41,1.0061358890750192,0.6907216494845361,0.6918536647592001,1.2171191175778706,0.593939393939394,0.6078329031799665,0.6091630591630591,0.8451260247013785,0.7673048600883653,0.7710579203766895,0.7739533011272142,1.2171191175778706,0.593939393939394,0.6078329031799665,0.6091630591630591,0.163225017196723,0.1733654661489713,2043,local_017_seed_2043,local_search
